plantName,url
Aloe Vera,"https://inaturalist-open-data.s3.amazonaws.com/photos/619891026/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619891028/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619876895/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619852908/original.jpg,https://static.inaturalist.org/photos/619840451/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619837841/original.jpg"
Basil,"https://inaturalist-open-data.s3.amazonaws.com/photos/619907188/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619894523/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619894732/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619881369/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619881401/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619880027/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619880066/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619875057/original.jpg"
Snake Plant,"https://inaturalist-open-data.s3.amazonaws.com/photos/619904401/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619901387/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619901368/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619891552/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619879873/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619869175/original.jpg"
Lavender,"https://static.inaturalist.org/photos/619912519/original.jpg,https://static.inaturalist.org/photos/619910843/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619906616/original.jpg,https://static.inaturalist.org/photos/619902466/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619893786/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619893824/original.jpg"
Cactus,"https://inaturalist-open-data.s3.amazonaws.com/photos/619912841/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619912835/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619912847/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619912266/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619912268/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619911607/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619911678/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619911469/original.jpg,https://static.inaturalist.org/photos/619912167/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619911943/original.jpg"
Rosemary,"https://inaturalist-open-data.s3.amazonaws.com/photos/619908318/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619891787/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619891821/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619909196/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619909218/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619905291/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619892264/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619892253/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619892243/original.jpg"
Mint,"https://static.inaturalist.org/photos/619909053/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619909339/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619905228/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619905247/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619903637/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619905167/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619905177/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619905205/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619905234/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619901910/original.jpg"
Thyme,"https://inaturalist-open-data.s3.amazonaws.com/photos/619908386/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619908398/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619908407/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619882612/original.jpg,https://static.inaturalist.org/photos/619910416/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619902955/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619898707/original.jpg"
Peace Lily,"https://inaturalist-open-data.s3.amazonaws.com/photos/619751041/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619729068/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619729099/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619729117/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619729135/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619751057/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619674889/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619653213/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619530439/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619528959/original.jpg"
Spider Plant,"https://inaturalist-open-data.s3.amazonaws.com/photos/619853520/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619853007/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619855064/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619821066/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619821093/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619794901/original.jpg"
Parsley,"https://inaturalist-open-data.s3.amazonaws.com/photos/619884034/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619884116/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619884109/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619908390/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619900074/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619900107/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619900150/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619899135/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619899009/original.jpg"
Fern (Boston),"https://inaturalist-open-data.s3.amazonaws.com/photos/619900012/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619900589/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619900623/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619861409/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619853712/original.jpg,https://static.inaturalist.org/photos/619842907/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619819408/original.jpg"
Bamboo Palm,"https://inaturalist-open-data.s3.amazonaws.com/photos/619859114/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619854082/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619803759/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619795163/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619795007/original.jpg"
Money Plant,"https://inaturalist-open-data.s3.amazonaws.com/photos/619884486/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619863512/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619853363/original.jpg,https://static.inaturalist.org/photos/619845348/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619809604/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619809687/original.jpg"
Jade Plant,"https://inaturalist-open-data.s3.amazonaws.com/photos/619890687/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619868278/original.jpg,https://static.inaturalist.org/photos/619832898/original.jpg,https://static.inaturalist.org/photos/619832908/original.jpg,https://static.inaturalist.org/photos/619832918/original.jpg,https://static.inaturalist.org/photos/619791838/original.jpg,https://static.inaturalist.org/photos/619784621/original.jpg,https://static.inaturalist.org/photos/619784629/original.jpg,https://static.inaturalist.org/photos/619784640/original.jpg"
Orchids,"https://inaturalist-open-data.s3.amazonaws.com/photos/619910581/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619908633/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619908204/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619911545/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619911587/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619909335/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619909332/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619909838/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619909839/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619909858/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619909866/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619909869/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619909893/original.jpg"
Cilantro,"https://inaturalist-open-data.s3.amazonaws.com/photos/619843953/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619843960/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619843728/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619843710/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619842644/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619842654/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619842623/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619842679/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619842718/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619842721/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619842642/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619842677/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619842725/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619842710/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619842713/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619842727/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619841633/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619842874/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619834952/original.jpg"
Dill,"https://inaturalist-open-data.s3.amazonaws.com/photos/619804439/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619599426/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619599432/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619599434/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619599436/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619599440/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619541924/original.jpg,https://static.inaturalist.org/photos/619459995/original.jpg,https://static.inaturalist.org/photos/619171456/original.jpg"
Chives,"https://inaturalist-open-data.s3.amazonaws.com/photos/619910211/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619910071/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619910113/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619910257/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619910363/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619910446/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619910474/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619910569/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619851189/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619761693/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619761697/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619761692/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619733972/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619733993/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619480584/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619480603/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619480591/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619480611/original.jpg"
Oregano,"https://static.inaturalist.org/photos/619879299/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619875735/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619875755/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619870372/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619870400/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619870416/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619867507/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619849719/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619849858/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619849934/original.jpg"
Pothos,"https://inaturalist-open-data.s3.amazonaws.com/photos/619884486/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619863512/original.jpg,https://inaturalist-open-data.s3.amazonaws.com/photos/619853363/original.jpg,https://static.inaturalist.org/photos/619845348/original.jpg,https://static.inaturalist.org/photos/619817000/original.jpg"
